Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
sorlie-pn-width-2,0.18840553633217996,0.1899008073817763,0.18785051903114186,0.19174671280276814,0.18734117647058826,0.19012179930795847,0.1878745098039216,0.19152479815455595,0.19305651672433674
sorlie-pn-width-4,0.13052733564013844,0.13323644752018457,0.13061084198385237,0.13275755478662052,0.1300724336793541,0.13287058823529413,0.12970888119953866,0.1326800461361015,0.13380853517877742
sorlie-pn-width-8,0.08444798154555938,0.08503806228373702,0.08346066897347171,0.0851584775086505,0.08439769319492499,0.08519215686274509,0.08363829296424449,0.08552618223760092,0.08641291810841989
subramanian-pn-freq-2,0.11958533333333336,0.12094666666666673,0.11849466666666668,0.12023066666666671,0.11871333333333337,0.12028800000000003,0.11728000000000002,0.1197493333333334,0.12273333333333329
subramanian-pn-freq-4,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002,0.08840000000000002
subramanian-pn-freq-8,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335,0.04965333333333335
subramanian-pn-width-2,0.20681333333333324,0.20661333333333332,0.20547466666666656,0.21004666666666658,0.2051626666666666,0.20768933333333323,0.2064719999999999,0.20963866666666653,0.21267999999999992
subramanian-pn-width-4,0.15613599999999997,0.16665333333333315,0.15484533333333336,0.16679866666666654,0.15331066666666668,0.16475066666666655,0.15373599999999998,0.1681999999999999,0.14537333333333322
subramanian-pn-width-8,0.09851599999999996,0.1092133333333333,0.09406933333333331,0.1020986666666667,0.09555199999999998,0.10158933333333335,0.09260533333333332,0.1031226666666667,0.10743999999999995
sun-pn-freq-2,0.18586296296296292,0.18603703703703697,0.18580462962962957,0.1859453703703703,0.18577592592592587,0.18594074074074068,0.1857166666666666,0.18588981481481476,0.18577777777777768
sun-pn-freq-4,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103,0.11861111111111103
sun-pn-freq-8,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777,0.06927777777777777
sun-pn-width-2,0.2370287037037037,0.24254629629629626,0.23731296296296298,0.23855925925925928,0.23029259259259258,0.236287037037037,0.2343185185185186,0.23844537037037045,0.21527777777777773
sun-pn-width-4,0.21659259259259253,0.2195185185185186,0.2163074074074074,0.21893796296296286,0.21561759259259258,0.21742962962962964,0.21603981481481477,0.21985277777777773,0.2033333333333332
sun-pn-width-8,0.1865972222222222,0.20800925925925934,0.1837361111111111,0.19338333333333332,0.18487129629629634,0.19171851851851857,0.18205,0.18976574074074068,0.1945555555555556
tian-pn-freq-2,0.06737857373561874,0.06734271108289618,0.06735641017073743,0.0675878467929656,0.06738592446567991,0.06756958134251062,0.06737500974528608,0.06747257398064309,0.06796084065621975
tian-pn-freq-4,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066,0.0467439607070066
tian-pn-freq-8,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483,0.02698386180627483
tian-pn-width-2,0.14178756390123295,0.1423034515018879,0.1419909340995913,0.14199817345495452,0.1390192344103267,0.13902647376568994,0.13941227571920217,0.13942352456368967,0.1290331562475637
tian-pn-width-4,0.12201421141145155,0.12253889761324022,0.1208588102954771,0.12598928575406246,0.11903360174635527,0.12249479323287338,0.11991424148262,0.12459843852673554,0.11397306959804862
tian-pn-width-8,0.11349415839709531,0.11440186218494877,0.11125107198146725,0.11460200251706812,0.11140710793321973,0.11286567097686746,0.11273669907670376,0.11411150834753356,0.11473375878467926
